Index,Anomaly_Score,Is_Outlier
0,3.7823570657309586,0
1,3.329260308580973,0
2,0.9606683253692416,0
3,0.628764328446328,0
4,4.544030830160117,0
5,1.288283624823915,0
6,10.380275423291591,1
7,2.25494690250333,0
8,2.1976707081024762,0
9,3.7611313343915724,0
10,3.4132491352793877,0
11,5.7835184596428935,0
12,4.039826406625963,0
13,3.2487876159832347,0
14,1.3623612023673748,0
15,2.920637720981405,0
16,1.9482488562474298,0
17,17.55919211907895,1
18,0.6580426426613102,0
19,0.16253850762968075,0
20,3.636669348470302,0
21,0.49221707526297004,0
22,2.432558678890161,0
23,2.077013729041897,0
24,2.085875595090263,0
25,1.0510726410996831,0
26,1.9533537618769636,0
27,1.0344450781334753,0
28,2.8427652276678836,0
29,0.4902127094534374,0
30,3.848284591999711,0
31,1.4941001328506256,0
32,0.9616601878163339,0
33,8.810848546932126,1
34,3.303077639585689,0
35,1.7945259482111164,0
36,1.634360424517542,0
37,3.3859211018740565,0
38,1.295734665798311,0
39,3.93506629626034,0
40,16.417730482601037,1
41,0.5334148166510378,0
42,0.48050026211369046,0
43,1.1329127856190868,0
44,1.631086680508996,0
45,0.23180859801800263,0
46,2.4816855751883304,0
47,4.731954591757542,0
48,4.00364461641417,0
49,0.32731535528253825,0
50,3.553185525557128,0
51,1.9105267996305848,0
52,1.9893284763180386,0
53,1.7973000757615245,0
54,1.8685189303579044,0
55,1.2523566349566493,0
56,3.0540796651066566,0
57,1.593625126381704,0
58,2.938720740975912,0
59,5.119896900709888,0
60,2.593573297261815,0
61,2.5415706819547284,0
62,1.4365512500777566,0
63,1.364974949261203,0
64,1.8706647071738267,0
65,11.800997354921886,1
66,2.6032582210406447,0
67,1.1131685116045358,0
68,5.762367990193907,0
69,3.291883581571413,0
70,0.5517303610118428,0
71,2.9916077954966176,0
72,3.1308244833328986,0
73,1.5338844757726815,0
74,6.92451316652163,0
75,0.6101666807589827,0
76,1.6920518342739523,0
77,0.5654641710756441,0
78,0.6287638116552442,0
79,0.785443605780585,0
80,6.456151322141953,0
81,9.506679373403497,1
82,0.9198975728519458,0
83,3.6280964816388517,0
84,1.0405627202793326,0
85,4.850487001832329,0
86,2.960380831023921,0
87,1.678908031641657,0
88,5.937063713647413,0
89,2.7596351458992805,0
90,3.802232611541574,0
91,2.214264027281735,0
92,0.7121399554452964,0
93,1.4699350863754552,0
94,0.547520729201662,0
95,1.420126068849896,0
96,6.062159998798736,0
97,1.6794162250393256,0
98,1.0851713922861168,0
99,1.1920539755117507,0
100,1.2290819921851086,0
101,3.9680582122731733,0
102,11.53018289059193,1
103,0.6919928570742938,0
104,2.298360072416152,0
105,3.0060181501414287,0
106,0.709400597534724,0
107,1.94709307712889,0
108,15.309034733691508,1
109,0.31779508632277026,0
110,4.136855968065037,0
111,1.492745342125244,0
112,5.012623588629428,0
113,0.9292111421226288,0
114,0.527003928758482,0
115,4.147446943522153,0
116,0.777789447981901,0
117,1.3846369310877387,0
118,2.718623017308569,0
119,3.397128806201824,0
120,3.0374120517911045,0
121,0.5463830156778282,0
122,0.6495330105196567,0
123,4.399123266296825,0
124,0.4112957048696142,0
125,0.5029300750450254,0
126,2.8864073226545046,0
127,2.8290476457148905,0
128,1.0998557444910961,0
129,3.282969504601857,0
130,2.836138954034184,0
131,2.97585686697241,0
132,2.888736000087057,0
133,3.007753103999731,0
134,0.6021748097471361,0
135,3.0476606266328163,0
136,1.280978830754237,0
137,0.9170369799566981,0
138,2.0679837732742454,0
139,0.9507568594971959,0
140,1.240449177379367,0
141,0.567568633793577,0
142,1.381829271090624,0
143,3.075095242191839,0
144,2.553598044633409,0
145,2.482623530444672,0
146,1.0446969788173435,0
147,7.49158046144597,0
148,2.661853269166475,0
149,3.370984073425062,0
150,2.948711543279326,0
151,3.2204619191225694,0
152,2.3966167004472636,0
153,8.339637949593707,1
154,0.8232857560227957,0
155,2.398707309471339,0
156,1.5755296227642621,0
157,2.1076996264360712,0
158,13.319341229638974,1
159,2.9833370598181275,0
160,2.487100024995736,0
161,3.6584926599880467,0
162,1.9802679360239572,0
163,3.5259211746500005,0
164,0.6812418939558448,0
165,1.110005977507635,0
166,4.074502652382425,0
167,7.080114743350684,0
168,2.0627485833167682,0
