Index,Anomaly_Score,Is_Outlier
0,0.10513898963924466,0
1,0.12435700332204654,0
2,0.027102252658725685,0
3,0.01575248610345521,0
4,0.15028462385097693,0
5,0.040080135589830035,0
6,0.024580594600605486,0
7,0.09007154186170206,0
8,0.09535353739828012,0
9,0.07522585139210596,0
10,0.14109844186118625,0
11,0.21844357148315902,1
12,0.08981883147326215,0
13,0.0684441405526207,0
14,0.04032606100597444,0
15,0.10587640904142007,0
16,0.03314968470012122,0
17,0.08076643639029045,0
18,0.014134162965765803,0
19,0.0010006549338156554,0
20,0.19517608303293082,1
21,0.005468392160872678,0
22,0.04986029236267374,0
23,0.026406922470766238,0
24,0.05708711228172346,0
25,0.016135383693063738,0
26,0.04957160960791567,0
27,0.01919087873396558,0
28,0.10025339700907568,0
29,0.003994490476030806,0
30,0.10620093416274048,0
31,0.04209115632645959,0
32,0.016452480636761784,0
33,0.12781116352706096,0
34,0.04098506954436454,0
35,0.03434099546621242,0
36,0.0065315675235261125,0
37,0.07341348052726164,0
38,0.025302692048179778,0
39,0.11665393475709693,0
40,0.1090214522546226,0
41,0.00545290644100993,0
42,0.0019703493178932457,0
43,0.04504424958388241,0
44,0.029686783639304125,0
45,0.0011148151651579822,0
46,0.07415026923444387,0
47,0.1153942799318441,0
48,0.11352669809238519,0
49,0.001979728508955995,0
50,0.07525548658728959,0
51,0.03756514676142057,0
52,0.01611080654044216,0
53,0.06860998321749792,0
54,0.05027266494426651,0
55,0.011046785745416562,0
56,0.11576072949558944,0
57,0.00889751666455499,0
58,0.06597310804995657,0
59,0.007463053589577255,0
60,0.09133791718131828,0
61,0.11897694897439966,0
62,0.010438148898367213,0
63,0.037582147835909505,0
64,0.04038154367002923,0
65,0.329829645286134,1
66,0.040223152944240614,0
67,0.02583199090716533,0
68,0.22214824879589337,1
69,0.09132130090920315,0
70,0.008954230513299015,0
71,0.0560122623292368,0
72,0.15883316934887093,0
73,0.043063330352730404,0
74,0.09811314882860575,0
75,0.007314991877356876,0
76,0.04974494363300959,0
77,0.012241627653443403,0
78,0.007634250106089106,0
79,0.022941008637426267,0
80,0.14073640303858087,0
81,0.0492972128432138,0
82,0.014010666478703082,0
83,0.10550259181528145,0
84,0.01547955912784828,0
85,0.04475405287600947,0
86,0.09441951204798059,0
87,0.08969426375293282,0
88,0.22032335301357955,1
89,0.08532299924997244,0
90,0.031361832681231876,0
91,0.08442120096708418,0
92,0.004937474888695056,0
93,0.043095337804367216,0
94,0.007644432892539702,0
95,0.05606072670306834,0
96,0.1331248242957265,0
97,0.04544320916148167,0
98,0.02099423688114969,0
99,0.046451865780224665,0
100,0.010896504906517553,0
101,0.12069337365618547,0
102,0.024417699968027562,0
103,0.0070507064403631855,0
104,0.03516633438194043,0
105,0.08847451895148892,0
106,0.006408393804724518,0
107,0.05202396225671836,0
108,0.13179049208649593,0
109,0.006964181045116343,0
110,0.12680258780867046,0
111,0.05271046336446443,0
112,0.04179831862852032,0
113,0.015968649529805732,0
114,0.007647525656247164,0
115,0.10426751556357039,0
